pregunta,respuesta
"hi, how are you doing?",I am fine. how about yourself?
I am fine. how about yourself?,I am pretty good. thanks for asking.
I am pretty good. thanks for asking.,no problem. so how have you been?
no problem. so how have you been?,i've been great. what about you?
i've been great. what about you?,i've been good. I am in school right now.
i've been good. I am in school right now.,what school do you go to?
what school do you go to?,i go to pcc.
i go to pcc.,do you like it there?
do you like it there?,it is okay. it is a really big campus.
it is okay. it is a really big campus.,good luck with school.
good luck with school.,thank you very much.
how is it going?,I am doing well. how about you?
I am doing well. how about you?,"never better, thanks."
"never better, thanks.",so how have you been lately?
so how have you been lately?,i've actually been pretty good. you?
i've actually been pretty good. you?,I am actually in school right now.
I am actually in school right now.,which school do you attend?
which school do you attend?,I am attending pcc right now.
I am attending pcc right now.,are you enjoying it there?
are you enjoying it there?,it is not bad. there are a lot of people there.
it is not bad. there are a lot of people there.,good luck with that.
good luck with that.,thanks.
how are you doing today?,I am doing great. what about you?
I am doing great. what about you?,"I am absolutely lovely, thank you."
"I am absolutely lovely, thank you.",everything's been good with you?
everything's been good with you?,i have not been better. how about yourself?
i have not been better. how about yourself?,i started school recently.
i started school recently.,where are you going to school?
where are you going to school?,I am going to pcc.
I am going to pcc.,how do you like it so far?
how do you like it so far?,i like it so far. my classes are pretty good right now.
i like it so far. my classes are pretty good right now.,i wish you luck.
it is an ugly day today.,i know. i think it may rain.
i know. i think it may rain.,"it is the middle of summer, it should not rain today."
"it is the middle of summer, it should not rain today.",that would be weird.
that would be weird.,"yeah, especially since it is ninety degrees outside."
"yeah, especially since it is ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. "
"yes, it would be. ",i really wish it was not so hot every day. 
i really wish it was not so hot every day. ,me too. i cannot wait until winter.
me too. i cannot wait until winter.,"i like winter too, but sometimes it gets too cold."
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
i'd rather be cold than hot.,me too.
it does not look very nice outside today.,you are right. i think it is going to rain later.
you are right. i think it is going to rain later.,"in the middle of the summer, it should not be raining."
"in the middle of the summer, it should not be raining.",that would not seem right.
that would not seem right.,"considering that it is over ninety degrees outside, that would be weird."
"considering that it is over ninety degrees outside, that would be weird.","exactly, it would not be nice if it started raining. it is too hot."
"exactly, it would not be nice if it started raining. it is too hot.","i know, you are absolutely right."
"i know, you are absolutely right.",i wish it would cool off one day.
i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
i wish it was a nicer day today.,that is true. i hope it does not rain.
that is true. i hope it does not rain.,it would not rain in the middle of the summer.
it would not rain in the middle of the summer.,it would not seem right if it started raining right now.
it would not seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
any rain right now would be pointless.,"that's right, it really would be."
"that's right, it really would be.",i want it to cool down some.
i want it to cool down some.,"i know what you mean, i cannot wait until it is winter."
"i know what you mean, i cannot wait until it is winter.",winter is great. i wish it did not get so cold sometimes though.
winter is great. i wish it did not get so cold sometimes though.,i would rather deal with the winter than the summer.
it is such a nice day.,"yes, it is."
"yes, it is.",it looks like it may rain soon.
it looks like it may rain soon.,"yes, and i hope that it does."
"yes, and i hope that it does.",why is that?
why is that?,i really love how rain clears the air.
i really love how rain clears the air.,me too. it always smells so fresh after it rains.
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
"yes, but i love the night air after it rains.",really? why is it?
really? why is it?,because you can see the stars perfectly.
because you can see the stars perfectly.,i really hope it rains today.
i really hope it rains today.,"yeah, me too."
is not it a nice day?,it really is.
it really is.,it seems that it may rain today.
it seems that it may rain today.,hopefully it will.
hopefully it will.,how come?
how come?,i like how clear the sky gets after it rains.
