pregunta, respuesta
" Betty, ¿dónde estás?", Estoy aquí mismo
" Querida Betty, adivina qué", vas a tener un perro
 ¿eh no?, Te vas a casar
 ¿Qué no?," Bueno, no puedo adivinar"
 Mira esto, Es un cheque por 100 es mi premio de un concurso de escritura
" Eres una ganadora, esa es una gran noticia, gracias Betty."," ¿Qué puedo hacer con el dinero? Lo sé, lo sé."
" Puedes dármelo, eres gracioso.", Pero no lo creo
" Tal vez puedas comprar acciones, no sé nada sobre las acciones.", mercado querido yo tampoco
 Sé que puedo poner el dinero en una cuenta bancaria.," Puedes ponerlo en mi cuenta bancaria, Betty."
 Puedo ahorrar el dinero en mi cuenta. Sé que estoy bromeando.," Oye, tengo una idea"
" Vamos al restaurante, puedo invitarte a almorzar.", ok adiós vuelve pronto
 Estamos finalmente cerrados, ¿Estás contento de que realmente lo esté?
 ¿Esta es tu billetera?," No, ¿algún cliente lo olvidó?"
" No sé, tal vez haya mucho dinero dentro.","Tal vez el nombre del propietario esté adentro, ¿no?"
" ¿Hay una identificación o una tarjeta de crédito? Sí, lo dice.", Maxwell Maxwell
" Solo mamá me llama Maxwell, oye, esa es mi billetera, la encontré."," ¿Puedo tomar prestada su tarjeta de crédito? No puede usar mi tarjeta de crédito, tiene mi firma."
 en ello maximo," Tienes cuatro tarjetas de crédito en tu billetera ¿las usas todas? Sí, ¿por qué?"
" ¿Estás en deuda? Max está en deuda. No, no lo estoy. Soy cuidadoso.", Cuando cargo cosas tal vez pueda obtener una tarjeta de crédito
 Una tarjeta de débito es una mejor opción para usted., ¿Por qué una tarjeta de débito es mejor que una tarjeta de crédito? Usar una tarjeta de débito es como usar una tarjeta de crédito.
 Efectivo si el dinero viene de tu banco, cuenta de inmediato de esa manera no gastarás más dinero del que tienes
" Así que no me endeudaré, eso es correcto.", y no pagas intereses wow
" Me estás ayudando a administrar mi dinero, gracias, aún eres joven.", Este es un gran momento para aprender a administrar tu dinero.
" Estoy de acuerdo, cuanto antes empieces, mejor.",¿Quién es la niña de esta foto? Es Sarah.
" Realmente es tan dulce. Guardo todos mis tesoros en mi billetera, mi dinero, mi...", tarjetas de credito y mi hermana pequeña ah
" Renee está en el comedor con el hermano de Simon, Rich.", Ha venido de la gran ciudad para visitar a su hermano pequeño.
 Simon viene a recoger a Renee después del trabajo., Se sorprende al ver a Rich allí. Rich le da un gran abrazo a Simon.
 rico tiene una tarjeta y regalos para el eres, Dándome más regalos para ayudarme a planificar mis finanzas.
" Gracias, Rich, de nada.", Un día serás rico como yo
 No quiero ser rico así que, ¿Qué es esta tarjeta? Es una tarjeta de efectivo.
" Son populares en la ciudad, la gente dice que son las nuevas tarjetas de débito.", ¿Cómo lo usas? Escanea la tarjeta cuando pagas.
 algo entonces el dinero se quita de la tarjeta, ¿Cuánto dinero hay en esta tarjeta? Puse cinco 500 en esta tarjeta para ti.
 muy generoso rico,"Esta tarjeta es inútil en pueblos pequeños, no tenemos cajeros automáticos."
 Úsalo cuando me visites en la gran ciudad rica.," Ustedes deben tener hambre, muchachos, déjenme traerles un poco de pastel de chocolate."
" Tienes una gran vida, sí la tengo.", Ella tiene más que todo el dinero del mundo.
 sí, Buenos días max cómo estás estoy genial
" Estás feliz esta mañana, tienes razón. Estoy muy feliz esta mañana.", Por qué me encanta la primavera
 Las flores son hermosas y los pájaros cantan.," Pero sé que la primavera máxima aún no ha llegado, pero el clima se está volviendo más cálido."
" No más invierno, ¿eh?"," No trabajemos hoy, consigamos a Simon y Sarah."
" Podemos hacer un picnic, es una idea divertida, pero no podemos cerrar un...", Cena de hoy ¿Qué pasa con nuestros clientes? Pueden unirse a nosotros en el parque.
" No, no ...", sí
" Hola, cerramos temprano este sábado.", hacer un picnic entonces gran idea el clima todavía está un poco frío para un
 picnic pero aún podemos divertirnos sí puedo cocinar, limpio no limpiemos en nuestro picnic no limpiemos ahora
" Está bien, puedo limpiar la cocina."," Gracias, hola"
 Mira nuestro especial del día ¿qué es?, rollitos de primavera hola max tienes algun plan especial
 Para el domingo no realmente," Probablemente me relajaré, el domingo es mi día libre, lo sé, pero..."
 El domingo también es pascua. Este domingo es pascua.," No, ¿no te gusta la Pascua?"
" Son unas vacaciones estupendas, acabo de recordar algo.", Estoy cocinando el desayuno de Pascua en la iglesia.
" Estás cocinando en tu día libre, lo siento Max."," No sé si Max está cocinando, entonces el desayuno será"
" Genial, ya lo estoy esperando con ansias.", Estoy deseando que lleguen las actividades de Pascua de los pueblos pequeños por la tarde.
" el desfile la búsqueda de huevos de pascua la búsqueda de huevos de pascua no, ¿qué pasa? yo soy", Se supone que debe hervir 200 huevos y Sarah debe ayudar a decorarlos.
 ellos asi, Ella aún no sabe lo que dice esta tarjeta.
 Eres uno en un millón que es realmente dulce., ¿Puedo darle esto a Jim? ¿Quién es Jim?
nadie debe ser alguien," Tal vez incluso tenga a alguien especial, Sarah."
" ¿Jim es tu persona especial? Max, no."," Jim es solo un amigo, no es mi novio."
 Estamos tratando de elegir una tarjeta del día de San Valentín para la amiga de Sarah.," Déjame ayudarte, ¿de acuerdo?"
" Sé amable, yo siempre soy amable."," Este es lindo, seamos amigos hasta el final."
 Eso es lindo ¿qué dice en el interior?, Te amo suena bien
 ¿Qué no?," No amo a Jim, me gusta Jim, él tiene mi amigo."
 sigamos mirando ¿es él tu amor? esta tarjeta dice, Hola cariño max
 Encontré uno que tiene un mensaje dulce., ¿Qué dice? ¿Dice que estoy enamorado de ti?
" no, dice"," Gracias por ser mi amigo, eso es todo, eso es todo."
" Eso no es muy romántico, lo sé, me gusta.", Es perfecto y puedo escribir mi propio mensaje especial.
 Tu amiga sarah," Está bien, ya terminé."
" Buen Jim, apreciará tu tarjeta, léenosla."," No, es personal"
pero yo soy tu hermano y tu eres un buen hermano gracias," Me preocupo por ti, Sarah, quiero que sepas que gracias Max, eres dulce."
 Yo lo sé," ¿Leerás la tarjeta ahora, máximo?"
" Me haces sonreír, eso es mejor que hacerte llorar."," Podría llorar, ustedes dos son tan dulces el uno con el otro."
" Déjame darte un abrazo, eh, gracias.", Max también puedes darle un abrazo a alguien.
 ¿Quién es tu especial?, Alguien de qué estás hablando no tengo a alguien especial
" Bueno, estás enamorado de una chica."," Ella siempre pide la tortilla de queso, no hablemos de eso, es personal."
" Simon Betty, ustedes dos son mis personas favoritas."," Hugh, le dices eso a todo el mundo."
 pero tu como estas hugh estoy super gracias," ¿Y a ti? A mí me va bien, gracias."
" Genial, tengo algo perfecto para ti."," Ufff, eso lo dices todo el tiempo, ¿qué estás vendiendo hoy?"
 Estoy vendiendo esto me encanta, ¿Qué crees que es?
 un corazón es un corazón con, brazos es un corazon
"Abrazo de corazón, abrazo, es perfecto para el día de San Valentín.", ¿cuantos quieres lo siento hugh?
 No quiero nada de nada," ¿Y tú, Simon? Seguro que quieres uno para Renée."
" Lo siento, Hugh, no es el regalo perfecto para ella.", A ustedes dos déjenme darles un abrazo
" No, no, está bien."," Tal vez Max quiera uno, sí."
" A Max le gustan los abrazos de corazón, tienes razón.", adios esto esta delicioso
 Los macarrones con queso son uno de mis platos favoritos., Sé que me alegro porque es fácil de hacer.
 No puedo creer que hayas cocinado esta cena y que Max incluso te haya dejado usar su cocina.," Bueno, él sabe que celebramos nuestro primer día de San Valentín aquí."
 El comedor es un lugar especial para nosotros simon me enamoro mas de ti," Todos los días, de eso se trata el matrimonio, estoy de acuerdo."
" ¿Recuerdas nuestro primer día de San Valentín juntos, por supuesto?", ¿Recuerdas el poema que te escribí? Me escribiste un poema.
" No te acuerdas, solo estoy bromeando, claro que lo recuerdo.",Estábamos aquí en el restaurante y leíste el poema en el escenario.
" Estaba nervioso y lindo, nunca olvidaré esa noche."," ¿Es Max el que lleva un disfraz de conejito? Sí, esta foto fue tomada hace un año."
 Max y yo fuimos al orfanato Sweet Home en Pascua.," Eso es genial, fue divertido"
 Celebramos la Pascua con los niños y les dimos canastas de Pascua llenas de, dulces y galletas les encantan es maravilloso que vuelvas a ir
" Este año sí estoy emocionada, estoy escribiendo cartas a", Los niños espero que se animen
" Estás cansado, sí", Max y yo nos quedamos despiertos hasta tarde decorando huevos para la búsqueda de huevos de Pascua.
 Me iré a la cama temprano esta noche., ¿Qué van a hacer tú y Simón para la Pascua? Vamos a ir al servicio de Pascua en
 Iglesia y luego unirse a las actividades del pueblo.," Divertido, pero ten cuidado durante el huevo de Pascua."
 Hunt Max y yo estábamos tan cansados anoche que," Nos olvidamos de hervir algunos de los huevos, ¿no?"
" Max Simon me contó tu idea, me encanta.","Así que ustedes irán, seguro que podemos ir el domingo cuando el restaurante esté cerrado, genial."
" Salgamos a las 8 en punto, eso es temprano."," Sí, me gusta empezar temprano cuando voy."
 A la ciudad ok quieres tomar dos carros o uno," Vamos a coger un coche, aparcar en la ciudad es caro."
" Está bien, podemos coger nuestro coche."," Bueno, te recogeré en tu casa a las ocho en punto. Genial, ¿eh?"
 ¿A ustedes les gusta la comida india? No sé si es buena., Está delicioso ¿quieres probarlo? Conozco un gran restaurante en la ciudad.
" ¿Pueden hacernos reservas? Está bien, eso suena genial.", Yo también tengo muchas ganas de que llegue este fin de semana.
 Betty está clasificando el correo en la oficina de correos y ve un sobre con su nombre., Ella lo abre y es una tarjeta de cumpleaños.
 Cuando abre el carrito escucha música y Betty cierra la tarjeta., Betty abre la tarjeta de nuevo y la música comienza de nuevo.
 Betty se ríe y baila con la música.," Hola Betty, linda música."
 Gracias mi sobrino me envió esta tarjeta de cumpleaños musical.,"¿No es divertido?, dice."
 salta de alegría es tu cumpleaños," Feliz cumpleaños en año bisiesto, eso es genial."
" Entonces, ¿estás emocionado por tu cumpleaños?", mañana si estoy muy emocionada estoy pensando en
 Comprometerse ¿qué?, Realmente no
" En realidad no, pero podría comprometerme, ¿sabes?", ¿Cómo sabes de alguien que quiere proponer matrimonio?
 Para ti no," pero podría proponerle matrimonio a alguien, eso es cierto, algunas mujeres le proponen matrimonio a los hombres."
" Lo hacen ahora, pero hace años en Gran Bretaña y", Las mujeres irlandesas sólo podían proponer matrimonio el 29 de febrero
 Realmente eso es interesante," Sí, ¿y sabes qué más?"
" Lo que el hombre no pudo decir no, ¿qué pasaría si lo hiciera?", Entonces tendría que darle un regalo a la mujer. Suena como un día perfecto para las mujeres.
" Sí, lástima que sólo viniera una vez cada cuatro años.", El primero que me resulta familiar
" Este se pronuncia cosmético, cosmético, recuerda."," Está aquí, así que está bien."
 Cosmético ahora cosmético," Ya sabes, cosas como lápiz labial, base, corrector o delineador de ojos."
Se utilizan para poner en la cara y hacerte lucir más, hermosa o atractiva ya sabes como ponerte maquillaje entonces tienes que usar
 Cosméticos cosméticos, Cosmético para el número dos. Creo que ya conoces este.
" Sabes a qué me refiero, ya sabes el significado de la palabra, ¿verdad?, la popular.", estilos de cabello o ropa o cualquier cosa pero recuerda no pronunciar una moda
" No es moda, en realidad es una facción.", moda para el numero tres
" Um, este me resulta muy familiar.", un mosquito
 Mosquito sabes cuando estas durmiendo los mosquitos," Puede morderte y hacerte daño, ¿de acuerdo?"
 Entonces mosquito," Recuerda que aquí está el mosquito, no más perro dulce."
 Mosquito mosquito o incluso puedes pronunciarlo, Mosquito para
" Número cuatro, este no es ese.", Esta b esta b aquí es muda así que simplemente la pronunciamos
 que sepas cuando estés en profundidad que, significa que le debes a alguien
 ya sabes el dinero o cosas asi, que le debes algo a alguien um
Ahora para el número cinco recomiendo," Este no es muy común ni lo recomiendo, está bien, lo recomiendo."
 recomendar recomendar que significa, Presentar o contarle algo a alguien es
 bueno o útil o adecuado para hacer o también puede, significa aconsejar a alguien que haga algo
 Recomiendo recomendar para el numero seis, Este por favor no lo pronuncies tanto aunque este de aquí es
" Al igual que mirar o atrapar o enseñar, pero este se pronuncia verano.", estómago dime la razón por la que te diré la
 Razón por la cual bueno no sé lo del estómago," Bueno, solo recuerda, no tanto, no tienes estómago."
 Bien estómago, El estómago es en realidad un órgano dentro de tu cuerpo donde se encuentran los alimentos.
 estómago para, número siete um
" Este es el matrimonio, recuerda", ge aquí así que tenemos que pronunciar matrimonio no mary h ok matrimonio
 El matrimonio es en realidad la relación legal, um entre marido y mujer
 matrimonio para el numero ocho,"Um, ya sabes esto, ¿verdad? Pero no pronuncies ""finance"" o ""phoenix""."
 es finanzas, finanzas y recuerda que aquí está s
 finanzas finanzas um, amenaza la segunda sílaba o incluso puedes enfatizar la primera sílaba
 finanzas finanzas o puedes pronunciar," Finanzas f aquí para finanzas, pero normalmente"
 Pronunciar finanzas finanzas está bien," Um, finanzas, ¿sabes qué hacer con el dinero?"
