pregunta,respuesta
a,"the first letter of the english and of many other alphabets. the capital a of the alphabets of middle and western europe, as also the small letter (a), besides the forms in italic, black letter, etc., are all descended from the old latin a, which was borrowed from the greek alpha, of the same form; and this was made from the first letter (/) of the phoenician alphabet, the equivalent of the hebrew aleph, and itself from the egyptian origin. the aleph was a consonant letter, with a guttural breath sound that was not an element of greek articulation; and the greeks took it to represent their vowel alpha with the a sound, the phoenician alphabet having no vowel symbols.-the name of the sixth tone in the model major scale (that in c), or the first tone of the minor scale, which is named after it the scale in a minor. the second string of the violin is tuned to the a in the treble staff. -- a sharp (a/) is the name of a musical tone intermediate between a and b. -- a flat (a/) is the name of a tone intermediate between a and g.-an adjective, commonly called the indefinite article, and signifying one or any, but less emphatically.-in each; to or for each; as, ""twenty leagues a day"", ""a hundred pounds a year"", ""a dollar a yard"", etc.-in; on; at; by.-in process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. this is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging.-of.-a barbarous corruption of have, of he, and sometimes of it and of they.-an expletive, void of sense, to fill up the meter"
a 1,a registry mark given by underwriters (as at lloyd's) to ships in first-class condition. inferior grades are indicated by a 2 and a 3.
a b c,"the first three letters of the alphabet, used for the whole alphabet.-a primer for teaching the alphabet and first elements of reading.-the simplest rudiments of any subject; as, the a b c of finance."
a cappella,"in church or chapel style; -- said of compositions sung in the old church style, without instrumental accompaniment; as, a mass a capella, i. e., a mass purely vocal.-a time indication, equivalent to alla breve."
a fortiori,with stronger reason.
a mensa et thoro,"a kind of divorce which does not dissolve the marriage bond, but merely authorizes a separate life of the husband and wife."
a posteriori,"characterizing that kind of reasoning which derives propositions from the observation of facts, or by generalizations from facts arrives at principles and definitions, or infers causes from effects. this is the reverse of a priori reasoning.-applied to knowledge which is based upon or derived from facts through induction or experiment; inductive or empirical."
a priori,"characterizing that kind of reasoning which deduces consequences from definitions formed, or principles assumed, or which infers effects from causes previously known; deductive or deductively. the reverse of a posteriori.-applied to knowledge and conceptions assumed, or presupposed, as prior to experience, in order to make experience rational or possible."
a-,"a, as a prefix to english words, is derived from various sources. (1) it frequently signifies on or in (from an, a forms of as. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (as. onweg), and analogically, ablaze, atremble, etc. (2) as. of off, from, as in adown (as. ofd/ne off the dun or hill). (3) as. a- (goth. us-, ur-, ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) old english y- or i- (corrupted from the as. inseparable particle ge-, cognate with ohg. ga-, gi-, goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) french a (l. ad to), as in abase, achieve. (6) l. a, ab, abs, from, as in avert. (7) greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to e. un-."
a-mornings,in the morning; every morning.
a-sea,on the sea; at sea; toward the sea.
a-tiptoe,on tiptoe; eagerly expecting.
aam,"a dutch and german measure of liquids, varying in different cities, being at amsterdam about 41 wine gallons, at antwerp 36 1/2, at hamburg 38 1/4."
aard-vark,"an edentate mammal, of the genus orycteropus, somewhat resembling a pig, common in some parts of southern africa. it burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
aard-wolf,"a carnivorous quadruped (proteles lalandii), of south africa, resembling the fox and hyena. see proteles."
aaron's rod,"a rod with one serpent twined around it, thus differing from the caduceus of mercury, which has two.-a plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."
aaronic,alt. of aaronical
aaronical,"pertaining to aaron, the first high priest of the jews."
ab,"the fifth month of the jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with august."
ab-,"a prefix in many words of latin origin. it signifies from, away , separating, or departure, as in abduct, abstract, abscond. see a-(6)."
abaca,"the manila-hemp plant (musa textilis); also, its fiber. see manila hemp under manila."
abaci,of abacus
abacinate,to blind by a red-hot metal plate held before the eyes.
abacination,the act of abacinating.
abaciscus,one of the tiles or squares of a tessellated pavement; an abaculus.
abacist,one who uses an abacus in casting accounts; a calculator.
aback,toward the back or rear; backward.-behind; in the rear.-backward against the mast; -- said of the sails when pressed by the wind.-an abacus.
abactinal,pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
abaction,stealing cattle on a large scale.
abactor,one who steals and drives away cattle or beasts by herds or droves.
abaculi,of abaculus
abaculus,"a small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
