input,output
The queue for buying tickets was unbelievably long.,La cola para comprar los billetes era increíblemente larga.
The reason is that I want to be an English teacher.,La razón es que quiero ser un profesor de inglés.
The region is relatively rich in mineral resources.,La región es relativamente rica en recursos minerales.
The ship carried hundreds of immigrants to America.,El barco llevó cientos de inmigrantes a Estados Unidos.
The slightest mistake may lead to a fatal disaster.,El error más mínimo podría conducir a un desastre fatal.
The slippery snake slithered right out of his hand.,La escurridiza serpiente se deslizó fuera de su mano.
The story of his brave struggle affected us deeply.,La historia de su valiente lucha nos conmovió profundamente.
The success of the enterprise astonished everybody.,El éxito de la empresa sorprendió a todos.
The supermarket is on the other side of the street.,El supermercado está en el otro lado de la calle.
The tallest mountain in the world is Mount Everest.,La montaña más alta del mundo es el monte Everest.
The teacher dismissed his class when the bell rang.,El profesor terminó la clase cuando sonó la campana.
The teacher emphasized the importance of education.,El profesor subrayó la importancia de la educación.
The teacher granted me permission to go home early.,El profesor me autorizó a irme temprano a casa.
The teacher granted me permission to go home early.,El profesor me dio permiso para irme temprano a casa.
The teacher listened attentively to my explanation.,El profesor escuchó atentamente mi explicación.
The teachers are trying to motivate their students.,El profesor está intentando incentivar a sus alumnos.
The teenager insisted she was innocent of cheating.,La joven insistió que era inocente de hacer trampa.
The teenager insisted she was innocent of cheating.,La adolescente insistió en que era inocente de haber hecho trampas.
The thief ran away and the policeman ran after him.,"El ladrón huyó, y el policía fue tras él."
The thief ran away in the direction of the station.,El ladrón salió corriendo en dirección a la estación.
The thief used a screwdriver to break into the car.,El ladrón usó un destornillador para entrar en el coche.
The trouble is that I am short of money these days.,El problema es que ando corto de dinero estos días.
The trouble with him is that he is seldom punctual.,El problema con él es que rara vez es puntual.
The two countries do not have diplomatic relations.,Los dos países no tienen relaciones diplomáticas.
The two countries were united under one government.,Los dos países estaban unidos bajo un solo Gobierno.
The vaccination left a funny little mark on my arm.,La vacuna me dejó una marquita rara en el brazo.
The vase fell from the table and crashed to pieces.,El florero se cayó de la mesa y se hizo añicos.
The village is connected with our town by a bridge.,El pueblo está unido con nuestra ciudad a través de un puente.
The website is visited over 30 million times a day.,El sitio web recibe más de 30 millones de visitas al día.
Their small protest triggered a mass demonstration.,Su pequeña protesta dio paso a una manifestación masiva.
There are no dinosaurs or mammoths to be found now.,Ya no quedan dinosaurios o mamuts por encontrar.
There are no grammatical mistakes in this sentence.,Esta frase está libre de errores gramaticales.
"There are no stupid questions, only stupid answers.","No hay preguntas estúpidas, sólo respuestas estúpidas."
There are some cases where this rule doesn't apply.,Hay casos en que esta regla no aplica.
There are some things we can change if we only try.,Hay algunas cosas que podemos cambiar si solo lo intentamos.
There are ten thousand students in this university.,Hay diez mil estudiantes en esta universidad.
There has been no rain here for the past two weeks.,"En las últimas dos semanas, no ha llovido nada aquí."
There is a castle in the background of the picture.,Hay un castillo en el fondo de esa pintura.
There is a subtle difference between the two words.,Hay una sutil diferencia entre las dos palabras.
There is no knowing what will happen in the future.,No se sabe qué sucederá en el futuro.
"There is nothing to do, so I may as well go to bed.","No hay nada que hacer, así que mejor me voy a la cama."
There must've been a large audience at the concert.,Tiene que haber habido mucho público en el concierto.
There must've been a large audience at the concert.,Tiene que haber asistido mucho público al concierto.
There was a flower bed in the middle of the garden.,En medio del jardín había un macizo de flores.
There was a half-eaten apple near the kitchen sink.,Había una manzana a medio comer cerca del fregadero.
There were a good many candidates for the position.,Había un buen puñado de candidatos para el puesto.
There were a great many boys and girls in the park.,En el parque había muchísimos chicos y chicas.
There were no more than five passengers in the bus.,No había más de cinco pasajeros en el autobús.
There were several people hurt in the recent riots.,En los últimos desórdenes hubo varios heridos.
There's a fantastic view from the top of that tree.,Desde lo alto de aquel árbol hay una vista fantástica.
There's a lot of dangerous stuff in this warehouse.,Hay muchas cosas peligrosas en esta bodega.
There's a man at the door who wants to talk to you.,Hay un hombre en la puerta que quiere hablar contigo.
There's no evidence this disease is caused by diet.,No hay evidencia de que esta enfermedad sea causada por la dieta.
These questions are too difficult for me to answer.,Estas preguntas son demasiado difíciles para que las conteste yo.
They are scheduled to leave for New York on Sunday.,Ellos están programados para irse a Nueva York el domingo.
They are scheduled to leave for New York on Sunday.,Ellas están programadas para irse a Nueva York el domingo.
They are scheduled to leave for New York on Sunday.,Están programados para irse a Nueva York el domingo.
They are scheduled to leave for New York on Sunday.,Están programadas para irse a Nueva York el domingo.
They are so alike that I can't tell which is which.,Son tan parecidos que no soy capaz de decirte cuál es cuál.
They carried out the captain's order to the letter.,Ellos cumplieron la orden del capitán al pie de la letra.
They didn't even know how to write their own names.,Ellos ni siquiera sabían como escribir sus propios nombres.
They elect their representatives in a voting booth.,Ellos eligen a sus representantes en una cabina de votación.
They had been saving money for the trip for a year.,Habían estado ahorrando para el viaje durante un año.
They hadn't gone very far when they met an old man.,No habían ido muy lejos cuando se encontraron con un anciano.
They stayed married for the sake of their children.,Siguieron casados por sus hijos.
They took enough provisions for three years at sea.,Se hicieron de suficientes provisiones para tres años en la mar.
They wanted Hawaii to be part of the United States.,Querían que Hawái fuera parte de los Estados Unidos.
They're making too much noise. I can't concentrate.,"Están haciendo demasiado ruido, no puedo concentrarme."
They're making too much noise. I can't concentrate.,"Hacen demasiado ruido, no logro concentrarme."
They're making too much noise. I can't concentrate.,"Están metiendo demasiado ruido, no me puedo concentrar."
They're making too much noise. I can't concentrate.,Están haciendo mucho ruido. No puedo concentrarme.
They've confirmed it won't take more than two days.,Me confirmaron que no tardaría más de dos días.
This air conditioner consumes a lot of electricity.,Este aire acondicionado consume mucha electricidad.
This article has to go through the censor's office.,Hay que enviar este artículo a la censura.
This book is so easy that even a child can read it.,Este libro es tan sencillo que hasta un niño puede leerlo.
This carpet is big enough to cover the whole floor.,Esta alfombra es lo suficientemente grande para cubrir todo el piso.
This caterpillar will become a beautiful butterfly.,Esta oruga se convertirá en una hermosa mariposa.
This climate is having a bad effect on your health.,Este clima está teniendo un mal efecto en tu salud.
This cloth stretches a great deal when it's washed.,Esta tela se estira mucho al lavarla.
"This flower is yellow, but all the others are blue.","Esta flor es amarilla, pero el resto son azules."
"This flower is yellow, but all the others are blue.","Esta flor es amarilla, pero todas las demás son azules."
This is a limited time offer to new customers only.,Esta es una oferta con tiempo limitado solo para clientes nuevos.
This is the book that my teacher recommended to me.,Este es el libro que mi profesor me recomendó.
"This is the book that you're looking for, isn't it?","Éste es el libro que estabas buscando, ¿verdad?"
This is the camera that Tom took the pictures with.,Esta es la cámara con la que Tom tomó las fotografías.
This is the camera that Tom took the pictures with.,Esta es la cámara con la que Tom sacó las fotos.
This is the house where I lived when I was a child.,Esta es la casa donde yo vivía de niño.
This is the tallest building that I have ever seen.,Este es el edificio más alto que jamás haya visto.
This island belonged to France in the 19th century.,Esta isla perteneció a Francia en el siglo XIX.
This job will provide you with valuable experience.,Este trabajo te proporcionará valiosa experiencia.
This juice would be even better with two ice cubes.,Este zumo estaría aún mejor con dos cubitos de hielo.
This juice would be even better with two ice cubes.,Este jugo estaría aún mejor con dos cubos de hielo.
This novel was written by a famous American writer.,Esta novela fue escrita por un famoso escritor americano.
This semester I failed two students for plagiarism.,Este semestre suspendí a dos estudiantes por plagio.
This tie is not suitable for a situation like this.,Esta corbata no es apropiada para una situación como ésta.
This time tomorrow I'll be studying in the library.,Mañana a esta hora estaré estudiando en la biblioteca.
This tree is the tallest and oldest in this forest.,Este árbol es el más alto y más viejo en este bosque.
To learn a foreign language requires a lot of time.,Aprender una lengua extranjera requiere mucho tiempo.
"To tell the truth, I don't like his way of talking.","A decir verdad, no me gusta su forma de hablar."
"To the best of my knowledge, the rumor is not true.","Hasta donde yo sé, el rumor es falso."
Today's math class was more interesting than usual.,"La clase de matemáticas de hoy, fue más divertida de lo usual."
Tom always keeps some aspirin in his jacket pocket.,Tom siempre tiene algo de aspirina en el bolsillo de su chaqueta.
Tom always seems to be complaining about something.,Tom siempre pareciera estar quejándose sobre algo.
Tom and Mary are going to a dance tomorrow evening.,Tom y Mary van a bailar mañana por la noche.
Tom and Mary are going to a dance tomorrow evening.,Tom y Mary van a bailar mañana por la tarde.
Tom and Mary both wanted to go to Boston with John.,"Los dos, Tom y Mary, querían ir a Boston con John."
Tom and Mary got married when they were very young.,Tom y Mary se casaron cuando eran muy jóvenes.
Tom and Mary helped each other with their homework.,Tom y Mary se ayudaron mutuamente con los deberes.
Tom and Mary looked at each other and then at John.,"Tom y Mary se miraron mutuamente, y luego a John."
Tom and Mary usually speak to each other in French.,Tom y María normalmente hablan francés entre ellos.
Tom and Mary went to Australia for their honeymoon.,Tomás y María fueron a Australia de luna de miel.
Tom and Mary were about to leave when John arrived.,Tom y Mary estaban a punto de irse cuando llegó John.
Tom and his friends played basketball last weekend.,Tom y sus amigos jugaron al baloncesto el fin de semana pasado.
Tom answered all the questions that Mary asked him.,Tom respondió a todas las preguntas que le hizo Mary.
"Tom applied for the position, but he didn't get it.","Tom postuló al puesto, pero no lo obtuvo."
"Tom asked Mary for a date, but she turned him down.","Tom invitó a Mary a una cita, pero ella lo rechazó."
Tom asked Mary not to discuss the matter with John.,Tom le pidió a Mary que no discutiera acerca del asunto con John.
Tom asked Mary to find out how to apply for a visa.,Tom le pidió a Mary que averiguara como postular para una visa.
Tom asked Mary what she had been doing all morning.,Tom le preguntó a Mary qué había estado haciendo toda la mañana.
Tom ate a piece of toast and drank a cup of coffee.,Tom se comió una pieza de pan tostado y se tomó una taza de café.
Tom ate the three apples in less than five minutes.,Tom se comió las tres manzanas en menos de cinco minutos.
"Tom attempted to snuggle, but Mary pushed him away.",Tom intentó franelear con Mary pero ella lo rechazó.
Tom became more and more handsome as he grew older.,Tom se volvía más y más apuesto a medida que crecía.
Tom began to suspect that Mary was cheating on him.,Tom comenzó a sospechar que Mary lo estaba engañando.
Tom begged Mary not to say anything to his parents.,Tomás le rogó a María para que no le contara a sus padres.
Tom bought a couple of books and gave them to Mary.,Tom compró unos cuantos libros y se los dio a Mary.
Tom broke his neck falling down a flight of stairs.,Tom se rompió el cuello al caer por un tramo de las escaleras.
Tom came on Monday and went back home the next day.,Tom vino el lunes y volvió a su casa al día siguiente.
Tom can get there in ten minutes if he drives fast.,Tom puede llegar ahí en diez minutos si conduce rápido.
Tom can't drive a car so he always rides a bicycle.,"Tom no puede conducir un auto, así que siempre anda en una bicicleta."
Tom can't remember exactly where he parked his car.,Tom no puede recordar dónde estacionó su auto exactamente.
Tom can't remember his kindergarten teacher's name.,Tom no puede recordar el nombre de su maestra de jardín de infantes.
"Tom climbed the mountain with Mary, John and Alice.","Tom ascendió la montaña con Mary, John y Alice."
Tom could think of no reason why he shouldn't stay.,Tom no podía pensar en ninguna motivo por el que él no debiera quedarse.
Tom could've called the police if he had wanted to.,Tom podría haber llamado a la policía si hubiera querido.
Tom couldn't believe that Mary actually kissed him.,Tom no se podía creer que Mary de verdad le hubiera besado.
Tom couldn't do anything about it until much later.,Tom no pudo hacer nada hasta mucho más tarde.
Tom couldn't remember what Mary had told him to do.,Tom no se podía acordar de qué le había dicho Mary que hiciera.
Tom decided to give up trying to keep up with Mary.,Tom decidió dejar de intentar seguir el ritmo de Mary.
Tom definitely had enough time to get the job done.,Tom tuvo definitivamente suficiente tiempo para realizar el trabajo.
Tom definitely had enough time to get the job done.,Tom sí que tuvo suficiente tiempo para terminar su tarea.
Tom didn't have the courage to go there by himself.,Tom no tuvo el valor para ir ahí por sí solo.
Tom didn't have the courage to tell Mary the truth.,Tom no tuvo el coraje para decirle a Mary la verdad.
Tom didn't have time to explain everything to Mary.,Tom no tuvo tiempo para explicárselo todo a Mary.
Tom didn't know that Mary had already bought bread.,Tom no sabía que Mary ya había comprado pan.
Tom didn't know that Mary had never been to Boston.,Tom no sabía que Mary no había estado nunca en Boston.
Tom didn't know that Mary knew how to speak French.,Tom no conocía que Mary podía hablar francés.
Tom didn't notice that Mary was sitting by herself.,Tom no se dio cuenta de que Mary estaba sentada ella sola.
Tom didn't seem interested in what Mary was saying.,Tom no parecía interesado en lo que decía Mary.
Tom died in Australia when he was thirty years old.,Tom murió en Australia cuando tenía treinta años.
Tom died with over ten million dollars in the bank.,Tom murió con más de diez millones de dólares en el banco.
Tom doesn't act like the typical college professor.,Tom no actúa como el típico profesor de universidad.
"Tom doesn't drink coffee, but he smokes cigarettes.","Tom no bebe café, pero fuma cigarros."
Tom doesn't have what it takes to be a good leader.,Tom no tiene lo que se necesita para ser un buen líder.
Tom doesn't know for certain when Mary will arrive.,Tom no sabe con seguridad cuándo llegará María.
Tom doesn't know what Mary wants to eat for dinner.,Tom no sabe qué quiere cenar Mary.
